region,country,store_type,channel,shop_cd,shop_name,month,net_sales,gross_profit,sga,operating_profit,rent,base_rent,government_rate,turnover_rates,service_fees,other_fees,freight_expense,ad_promo,payroll,gross_margin_rate,service_fee_rate,turnover_rate,other_fee_rate,freight_rate,ad_promo_rate,payroll_rate,rent_rule_type,service_fee_rule_type,turnover_formula,service_fee_formula,notes
HKMC,HK,기존점,리테일,M01,Mongkok,2602,2761.17,1790.7022633315003,1086.13195,704.5703133315003,544.65,,,,35.68145,76.9987,97.13281,1.8382000000000003,233.88615,0.6485302474427508,0.0129225835424838,,0.027886258361491684,0.03517813463133382,0.0006657322801566003,0.08470545095014069,blank_or_zero,manual_value,,,
HKMC,HK,기존점,리테일,M02,TSQ,2602,925.099,605.736356571507,441.26514,164.47121657150706,216.45,,,,13.93166,40.36164999999999,31.51626,0.0,128.30993999999998,0.6547800360518248,0.015059642265314307,,0.043629546675544986,0.03406798623714867,0.0,0.13869860414939372,blank_or_zero,manual_value,,,
HKMC,HK,기존점,리테일,M05,LCX,2602,1461.4225,954.5502487856379,638.69846,315.85178878563795,312.34999999999997,,,,20.73678,45.83575,49.61365,0.0,146.719,0.6531651516147028,0.014189448978649228,,0.03136379110079392,0.03394887515417342,0.0,0.10039464973339332,blank_or_zero,manual_value,,,
HKMC,HK,기존점,리테일,M08,Vcity,2602,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
HKMC,HK,기존점,리테일,M09,Shangshui,2602,977.034,590.4584003805146,326.24495,264.2134503805146,150.2,,,,12.07509,30.46795,33.19737000000001,0.37155,92.90719999999999,0.6043376181182176,0.012358925073231842,,0.031184124605694377,0.03397770190187855,0.00038028359299676365,0.09509106131414054,blank_or_zero,manual_value,,,
HKMC,HK,기존점,리테일,M10,ISQ,2602,3389.8615,2209.2725653587463,1181.98368,1027.2888853587463,648.501,,,,45.14916,51.73122,115.06981,0.2355,226.59825,0.6517294483443486,0.01331888043213565,,0.0152605703802353,0.03394528360524464,6.947186485347558e-05,0.06684587261160965,blank_or_zero,manual_value,,,
HKMC,HK,기존점,리테일,M11,APM,2602,1772.697,1159.5423850077605,549.2155500000001,610.3268350077603,238.60061000000002,,,,27.55284,47.880480000000006,60.62096,0.33755,164.94787000000002,0.6541120027888356,0.015542893117097847,,0.027009962785518343,0.034197022954289426,0.0001904160722334387,0.09304910540267176,blank_or_zero,manual_value,,,
HKMC,HK,신규점,리테일,M12,WTC,2602,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
HKMC,HK,기존점,리테일,M13,Megamall,2602,702.053,405.2533966874871,282.42986,122.82353668748709,118.45,,,,10.38568,41.39593,23.79309,0.33755,80.77352,0.5772404600329136,0.014793299081408385,,0.05896410954728489,0.033890731896309825,0.0004808041558115983,0.11505330794113836,blank_or_zero,manual_value,,,
HKMC,HK,기존점,리테일,M14,NTP,2602,2379.254,1549.4648338730187,770.28521,779.1796238730187,445.51572,,,,32.61734,43.06222,80.6646,0.33755,153.12593,0.6512397725812455,0.01370906174792603,,0.018099042809216672,0.03390331591330728,0.00014187220027790225,0.06435879901851589,blank_or_zero,manual_value,,,
HKMC,HK,신규점,리테일,M16,Hysan,2602,800.038,527.7516168176935,738.17388,-210.42226318230655,312.85516,,,,15.42445,80.10355,27.52486,0.29045,126.63851,0.6596581872582221,0.01927964671678095,,0.10012468157762507,0.03440444078906252,0.00036304525535037083,0.15829061869561195,blank_or_zero,manual_value,,,
HKMC,HK,신규점,리테일,M17,TMT,2602,1373.2515,878.0988070361889,467.10877,410.9900370361889,219.72638999999998,,,,19.96323,33.29283,46.66745,0.33755,94.00408,0.639430437204102,0.014537198757838602,,0.024243796566033243,0.033983177881109175,0.00024580348173659376,0.06845365178920249,blank_or_zero,manual_value,,,
HKMC,HK,신규점,리테일,M18,LANGHAM,2602,2737.516,1781.7264620821766,846.72427,935.0021920821765,429.96534999999994,,,,34.85153,43.48319,92.77636,24.33755,151.94696,0.6508551774974746,0.012731078101461324,,0.015884177480606505,0.03389070967987036,0.00889037726172194,0.055505414397577946,blank_or_zero,manual_value,,,
HKMC,HK,신규점,리테일,M19,NTP 3,2602,328.813,197.76987434197687,257.96891,-60.19903565802312,131.08,,,,5.46461,16.87234,11.14371,0.0,61.265649999999994,0.6014661048741287,0.016619203012046363,,0.05131287388272362,0.03389072208215612,0.0,0.18632368549905265,blank_or_zero,manual_value,,,
HKMC,HK,신규점,리테일,M20,Ocean TM,2602,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
HKMC,HK,신규점,리테일,M22,Yoho,2602,977.5575,626.2212080584643,592.41189,33.80931805846433,314.735,,,,16.01058,54.13639,33.26612,0.0,86.14329,0.6405978247401961,0.016378146554039023,,0.055379238561414544,0.034029834562161305,0.0,0.08812094429227947,blank_or_zero,manual_value,,,
HKMC,MC,기존점,리테일,MC1,Venetian,2602,4769.04029,3061.5314029829738,1242.43528,1819.0961229829738,702.48,,,,32.09386,104.40299000000002,112.34631,-0.3768000000000002,183.2171,0.6419596432017088,0.006729626517791487,,0.021891823857919226,0.02355742521940405,-7.900960719289713e-05,0.03841802309453754,blank_or_zero,manual_value,,,
HKMC,MC,기존점,리테일,MC2,Londoner,2602,1425.90097,908.084781775613,528.65317,379.43161177561296,263.49823,,,,9.77077,43.26592,33.53285,0.0,108.40919999999998,0.6368498239927651,0.00685234823846147,,0.030342864553910782,0.023516955739219397,0.0,0.07602856178714851,blank_or_zero,manual_value,,,
HKMC,MC,기존점,리테일,MC3,Senado,2602,2554.39951,1685.2132438274234,803.2030599999999,882.0101838274235,500.0,,,,17.47299,12.074909999999988,61.04783,0.09419999999999983,157.99624,0.6597297083835658,0.006840351296497077,,0.004727103161713333,0.023899092432882588,3.6877551702943996e-05,0.06185259564194012,blank_or_zero,manual_value,,,
HKMC,MC,기존점,리테일,W01,신라면세점,2602,,,,0.0,,,,,,,,,,,,,,,,,blank_or_zero,blank_or_zero,,,
HKMC,HK,신규점,리테일,X01,K11 MUSEA,2602,479.924,298.7589795020049,628.0822900000001,-329.3233104979952,250.84,,,,8.45476,88.49046,53.13493,0.0,133.93192000000002,0.6225131052041675,0.017616872671506325,,0.1843843191838708,0.11071530075595303,0.0,0.2790690192613831,blank_or_zero,manual_value,,,
HKMC,HK,기존점,아울렛,M03,Temp HK,2602,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
HKMC,HK,기존점,아울렛,M07,Citygate,2602,2664.3345,1266.4435636084886,955.5447000000001,310.89886360848845,582.2725,,,,40.61157,18.88503,90.29618,0.0,205.29941000000002,0.47533204393385614,0.015242669417072068,,0.0070880852235333065,0.03389070704147697,0.0,0.07705466787297166,blank_or_zero,manual_value,,,
HKMC,HK,기존점,아울렛,M15,Yuenlong,2602,909.283,415.4668498587987,288.56699000000003,126.89985985879866,122.95679000000001,,,,12.15877,26.878280000000004,30.91425,0.1884,88.72336999999999,0.45691698828505395,0.013371821534109842,,0.02955986200115916,0.03399849111882659,0.0002071962194388326,0.09757508938361323,blank_or_zero,manual_value,,,
HKMC,HK,신규점,아울렛,M21,Moko,2602,1433.0415,707.6030471016013,556.03917,151.5638771016013,264.54747,,,,21.03991,46.68514,48.80179,0.0942,140.63974000000002,0.493777079799574,0.014681996299479114,,0.032577660870253926,0.03405469415924103,6.573431404463862e-05,0.09814073074645781,blank_or_zero,manual_value,,,
HKMC,MC,기존점,아울렛,MC4,Senado-1,2602,1054.0335,500.52379622806427,387.66407,112.85972622806429,180.0,,,,7.57999,11.099100000000002,24.77897,0.0,122.13508,0.4748651691128074,0.007191412796652099,,0.010530120721969464,0.02350871200962778,0.0,0.11587400210714366,blank_or_zero,manual_value,,,
HKMC,HK,오피스,오피스,M99,MLB 오피스,2602,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
HKMC,HK,온라인,온라인,HE1,Zarola,2602,112.81132,58.63087726318908,65.94926,-7.318382736810918,0.0,,,,40.49067,3.9587800000000004,14.18614,4.28846,0.0,0.5197251238899525,0.3589238207655048,,0.03509204572732595,0.12575103278642605,0.03801444748629836,0.0,blank_or_zero,value_with_implied_rate,,,Online store: include rent and service-fee rules together.
HKMC,HK,온라인,온라인,HE2,자사몰,2602,1080.8518,628.5084603745623,227.64693,400.86153037456234,0.0,,,,101.36055,57.83434999999999,62.6526,2.5848,0.0,0.5814936519276392,0.09377839774148501,,0.05350812202005862,0.05796594870823179,0.0023914471900773077,0.0,blank_or_zero,value_with_implied_rate,,,Online store: include rent and service-fee rules together.
HKMC,HK,신규점,온라인,XE1,홍콩 DX 자사몰,2602,22.9243,14.125369144608204,19.39438,-5.269010855391798,0.0,,,,10.22334,5.22717,1.2916,0.0316,0.0,0.6161745023668423,0.4459608363177938,,0.22801873993971464,0.05634196027795833,0.0013784499417648524,0.0,blank_or_zero,value_with_implied_rate,,,Online store: include rent and service-fee rules together.
TW,TW,기존점,리테일,D01,A11,2602,588.6994325753902,330.0781415811164,314.75174140452646,15.32640017658997,141.1482114969882,,,,11.436751691827174,10.238219181477902,10.724573015046728,12.82045561587467,53.76316898440792,0.560690436097619,0.019427149168115696,,0.017391250296757796,0.018217399952518747,0.021777591257033956,0.09132532835849622,blank_or_zero,manual_value,,,
TW,TW,기존점,리테일,D02,Pop up,2602,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
TW,TW,기존점,리테일,D03,SK Taichung,2602,519.6398323341136,296.98779098660117,324.691257033787,-27.703466047185827,123.28945737587073,,,,10.002974641183908,10.377779430356215,9.884980540888924,12.285268089536702,50.96675838476984,0.5715262235625664,0.019249822701721372,,0.019971100721323454,0.01902275369555035,0.023641890642512608,0.09808093070124706,blank_or_zero,manual_value,,,
TW,TW,신규점,리테일,D04,SOGO Garden City,2602,158.67349889808432,91.95690783688107,171.50814308024098,-79.55123524335991,31.98532510349273,,,,5.687761830395876,4.418581591928807,3.748791552019038,0.054535088371631846,38.310651694306046,0.5795353885524691,0.035845694901132256,,0.027847004210620283,0.023625820178244633,0.0003436937406079362,0.2414432905327997,blank_or_zero,manual_value,,,
TW,TW,기존점,리테일,D05,TAIMALL,2602,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
TW,TW,기존점,리테일,D06,Hanshin TC,2602,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
TW,TW,기존점,리테일,T01,Zhongxiao,2602,590.3451922361866,352.24635978285124,273.6627748444511,78.58358493840012,173.52073572791952,,,,7.754889566446048,4.7279442750551555,16.86819860687638,3.7158226122307334,53.17766044470887,0.5966786287334136,0.013136195006638514,,0.008008779163841465,0.028573449616792534,0.006294321798667413,0.09007892525265698,blank_or_zero,manual_value,,,
TW,TW,기존점,리테일,T02,Nanjing,2602,754.283151136561,455.9638977714981,281.3931236211299,174.5707741503682,146.33325896730375,,,,11.495996628739992,11.162341042611736,20.114771572345752,13.867281425844675,62.97439329714186,0.6044996459014728,0.015240956411949167,,0.014798608487796945,0.026667401415551475,0.018384715878843806,0.08348906269780977,blank_or_zero,manual_value,,,
TW,TW,기존점,리테일,T03,101,2602,748.3659453161797,436.96712029944734,299.30393396296574,137.6631863364816,169.35028878808163,,,,12.352445402939939,5.859547358766516,19.958107136659976,8.924915098782876,58.36122059443247,0.5838949821732355,0.016505889238080055,,0.007829788882617976,0.026668914134284672,0.011925870163710025,0.07798486951430592,blank_or_zero,manual_value,,,
TW,TW,기존점,리테일,T04,A11,2602,,,,0.0,,,,,,,,,,,,,,,,,blank_or_zero,blank_or_zero,,,
TW,TW,신규점,리테일,T05,SK Taichung,2602,,,,0.0,,,,,,,,,,,,,,,,,blank_or_zero,blank_or_zero,,,
TW,TW,기존점,리테일,T06,중우타이중,2602,713.1898515158277,428.79084058402134,260.940978161176,167.84986242284532,114.7301752559431,,,,11.90897597977244,2.982573560397611,20.158647529808388,4.686299298480455,55.16868694380407,0.6012295879879122,0.01669818485843688,,0.004182019071160913,0.028265471651009618,0.006570900144639049,0.07735484012643681,blank_or_zero,manual_value,,,
TW,TW,기존점,리테일,T07,빅시티,2602,,,,,,,,,,,,,,,,,,,,,blank_or_zero,blank_or_zero,,,
TW,TW,기존점,리테일,T08,한신아레나,2602,1500.8883765895741,894.6304751989294,555.7804714806276,338.85000371830176,318.13762673210874,,,,20.9605612156367,6.551151434024939,39.29228328499541,9.421432289730053,92.75897969807392,0.5960672953119757,0.01396543643256455,,0.0043648492027841095,0.026179350775091047,0.0062772371594602555,0.061802717074035514,blank_or_zero,manual_value,,,
TW,TW,기존점,리테일,T09,성품타이중,2602,,,,0.0,,,,,,,,,,,,,,,,,blank_or_zero,blank_or_zero,,,
TW,TW,기존점,리테일,T10,원동반치아오,2602,843.6274038819068,502.1636945043505,306.2613718053593,195.90232269899116,182.01730249621974,,,,15.992662551746365,2.3412904985002854,22.98480454128554,8.156714013038846,59.28063260702511,0.5952434596051182,0.01895702116616527,,0.0027752660567057935,0.027245208531067364,0.009668621450069258,0.07026873751877714,blank_or_zero,manual_value,,,
TW,TW,기존점,리테일,T11,난팡 TS Mall,2602,712.6183460995019,431.52300884955764,213.3144939391686,218.20851491038903,108.50400337126001,,,,9.9060509159416,2.7255149847549642,23.37249944225478,4.839989092982326,46.4616643117424,0.605545747189204,0.013900920415762678,,0.003824648915752731,0.03279806023825173,0.0067918390250179235,0.06519852395893135,blank_or_zero,manual_value,,,
