brand,region,country,store_type,channel,shop_cd,shop_name,month,net_sales,gross_profit,sga,operating_profit,rent,base_rent,government_rate,turnover_rates,service_fees,other_fees,freight_expense,ad_promo,payroll,gross_margin_rate,service_fee_rate,turnover_rate,other_fee_rate,freight_rate,ad_promo_rate,payroll_rate,rent_rule_type,service_fee_rule_type,turnover_formula,service_fee_formula,notes
X,HKMC,HK,신규점,온라인,XE1,홍콩 DX 자사몰,2603,50.0,32.666666666666664,22.01257,10.654096666666664,0.0,,,,11.0,6.5809,1.5,0.5,0.0,0.6533333333333333,0.22,,0.13161799999999999,0.03,0.01,0.0,blank_or_zero,value_with_implied_rate,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E880,'HKMC 2026 PL'!$C$8:$MW$8,BM$5)/1000",Online store: include rent and service-fee rules together.
X,TW,TW,기존점,리테일,D01,A11,2603,357.1428571428571,213.39285714285714,236.25374452381206,-22.86088738095492,86.10573317283342,,,,4.978321909510423,10.431506579112078,28.066226675860612,2.678719205219329,34.33228741441681,0.5975,0.013939301346629185,,0.02920821842151382,0.07858543469240972,0.007500413774614122,0.09613040476036708,blank_or_zero,global_multiplier,,=+AZ1919*$BZ$1066,
X,TW,TW,기존점,리테일,D02,Pop up,2603,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
X,TW,TW,기존점,리테일,D03,SK Taichung,2603,404.76190476190476,241.8452380952381,273.9474334921297,-32.102195396891574,97.14285714285714,,,,5.0704414164323985,9.46654869951732,17.710640110327272,4.9838829296133245,49.09668069312661,0.5975,0.012526972911185926,,0.02338794384586632,0.043755699096102676,0.012313122531985861,0.12129768171243044,blank_or_zero,manual_value,,=+BM1559,
X,TW,TW,신규점,리테일,D04,SOGO Garden City,2603,190.47619047619048,113.80952380952381,156.02987867355375,-42.22035486402994,38.095238095238095,,,,2.2709183673469386,2.8956632653061227,9.322448979591837,0.0,41.24799007444169,0.5975,0.011922321428571428,,0.015202232142857144,0.04894285714285714,0.0,0.21655194789081886,blank_or_zero,manual_value,,,
X,TW,TW,기존점,리테일,D05,TAIMALL,2603,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
X,TW,TW,기존점,리테일,D06,Hanshin TC,2603,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
M,TW,TW,기존점,리테일,T01,Zhongxiao,2603,678.5714285714286,405.44642857142856,300.17561896383586,105.2708096075927,187.5,,,,5.08379470583992,4.99349616591524,45.78744153354904,1.2339729299315763,36.94306546098765,0.5975,0.007491907987553567,,0.007358836455032986,0.06747622962838806,0.0018184864230570599,0.05444241225829759,blank_or_zero,global_multiplier,,=+AZ1139*$BZ$1069,
M,TW,TW,기존점,리테일,T02,Nanjing,2603,438.0952380952381,267.2294354895354,182.04885321019518,85.1805822793402,83.62347374379725,,,,6.730285025407098,9.89692329878534,22.623438696016553,4.433100155943352,43.927223143266325,0.6099802331826352,0.015362607123211854,,0.022590803182010018,0.05164045789308126,0.010119032964653303,0.10026866152267314,blank_or_zero,global_multiplier,,=+AZ1169*$BZ$1066,
M,TW,TW,기존점,리테일,T03,101,2603,530.952380952381,316.3974585683737,244.2211607609118,72.17629780746188,127.35977011878585,,,,9.018040339044186,7.626092828939693,26.87229983811595,2.462322988171644,42.87135467416327,0.5959055273485064,0.016984649965912816,,0.01436304478993126,0.05061150642156367,0.004637558991175294,0.08074425544012813,blank_or_zero,global_multiplier,,=+AZ1199*$BZ$1066,
M,TW,TW,기존점,리테일,T04,A11,2603,,,,0.0,,,,,,,,,,,,,,,,,blank_or_zero,blank_or_zero,,,
M,TW,TW,신규점,리테일,T05,SK Taichung,2603,,,,0.0,,,,,,,,,,,,,,,,,blank_or_zero,blank_or_zero,,,
