region,country,store_type,channel,shop_cd,shop_name,month,net_sales,gross_profit,sga,operating_profit,rent,base_rent,government_rate,turnover_rates,service_fees,other_fees,freight_expense,ad_promo,payroll,gross_margin_rate,service_fee_rate,turnover_rate,other_fee_rate,freight_rate,ad_promo_rate,payroll_rate,rent_rule_type,service_fee_rule_type,turnover_formula,service_fee_formula,notes
HKMC,HK,기존점,리테일,M01,Mongkok,2604,1600.0,1048.821016572626,1063.1114399999994,-14.290423427373526,544.65,,,,24.0,77.98508,74.62281,5.581,182.9625,0.6555131353578912,0.015,,0.048740675,0.046639256250000004,0.0034881250000000003,0.1143515625,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E98,'HKMC 2026 PL'!$C$8:$MW$8,BN$5)/1000",
HKMC,HK,기존점,리테일,M02,TSQ,2604,650.0,431.5988032711647,461.12276,-29.523956728835344,217.2,,,,9.75,39.316770000000005,29.632,3.366,109.30499999999999,0.6639981588787149,0.015,,0.06048733846153847,0.04558769230769231,0.005178461538461539,0.16816153846153845,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E132,'HKMC 2026 PL'!$C$8:$MW$8,BN$5)/1000",
HKMC,HK,기존점,리테일,M05,LCX,2604,800.0,526.343916656273,577.4579799999999,-51.11406334372691,312.34999999999997,,,,12.0,46.860130000000005,36.471,3.366,104.58,0.6579298958203412,0.015,,0.05857516250000001,0.04558875,0.0042075,0.130725,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E166,'HKMC 2026 PL'!$C$8:$MW$8,BN$5)/1000",
HKMC,HK,기존점,리테일,M08,Vcity,2604,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
HKMC,HK,기존점,리테일,M09,Shangshui,2604,500.0,292.0,310.01318999999984,-18.013189999999838,150.2,,,,7.5,30.88573,22.794,3.366,88.095,0.584,0.015,,0.06177146,0.045588000000000004,0.006732,0.17618999999999999,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E302,'HKMC 2026 PL'!$C$8:$MW$8,BN$5)/1000",
HKMC,HK,기존점,리테일,M10,ISQ,2604,1700.0,1112.7405830102223,1099.13962,13.600963010222358,648.501,,,,25.5,53.25315,77.5,3.366,203.59499999999997,0.6545532841236602,0.015,,0.031325382352941175,0.045588235294117645,0.00198,0.11976176470588233,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E336,'HKMC 2026 PL'!$C$8:$MW$8,BN$5)/1000",
HKMC,HK,기존점,리테일,M11,APM,2604,900.0,592.507996761918,418.1864299999998,174.32156676191818,172.15,,,,13.5,48.58697,41.029,3.766,130.095,0.6583422186243533,0.015,,0.05398552222222222,0.04558777777777778,0.004184444444444445,0.14455,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E370,'HKMC 2026 PL'!$C$8:$MW$8,BN$5)/1000",
HKMC,HK,신규점,리테일,M12,WTC,2604,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
HKMC,HK,기존점,리테일,M13,Megamall,2604,450.0,235.5573458544421,266.45672999999994,-30.899384145557832,118.45,,,,6.75,42.31797,20.515,3.366,67.515,0.5234607685654269,0.015,,0.09403993333333334,0.04558888888888889,0.0074800000000000005,0.15003333333333332,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E404,'HKMC 2026 PL'!$C$8:$MW$8,BN$5)/1000",
HKMC,HK,기존점,리테일,M14,NTP,2604,2000.0,1304.8524912412977,1559.3303099999996,-254.47781875870191,346.02333999999996,,,,30.0,75.68137,91.176,3.366,149.52,0.6524262456206489,0.015,,0.037840685,0.045588000000000004,0.001683,0.07476000000000001,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E438,'HKMC 2026 PL'!$C$8:$MW$8,BN$5)/1000",
HKMC,HK,신규점,리테일,M16,Hysan,2604,650.0,426.5195572874047,420.4058799999999,6.113677287404812,190.60999999999999,,,,9.75,39.623979999999996,29.632,3.366,107.52000000000001,0.656183934288315,0.015,,0.060959969230769226,0.04558769230769231,0.005178461538461539,0.16541538461538463,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E608,'HKMC 2026 PL'!$C$8:$MW$8,BN$5)/1000",
HKMC,HK,신규점,리테일,M17,TMT,2604,0.0,0.0,274.15116000000006,-274.15116000000006,125.12,,,,0.0,33.78727,0.0,3.366,70.455,,,,,,,,blank_or_zero,blank_or_zero,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E642,'HKMC 2026 PL'!$C$8:$MW$8,BN$5)/1000",
HKMC,HK,신규점,리테일,M18,LANGHAM,2604,1500.0,988.4652490010008,746.2661633333335,242.1990856676673,376.8659133333333,,,,22.5,44.74939,68.382,27.366,146.37,0.6589768326673339,0.015,,0.029832926666666666,0.045588000000000004,0.018244,0.09758,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E676,'HKMC 2026 PL'!$C$8:$MW$8,BN$5)/1000",
HKMC,HK,신규점,리테일,M19,NTP 3,2604,150.0,97.72702589223232,240.28204999999997,-142.55502410776765,131.08,,,,2.25,18.92498,6.838,3.366,44.94,0.6515135059482154,0.015,,0.12616653333333333,0.045586666666666664,0.02244,0.2996,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E710,'HKMC 2026 PL'!$C$8:$MW$8,BN$5)/1000",
HKMC,HK,신규점,리테일,M20,Ocean TM,2604,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,blank_or_zero,blank_or_zero,,,
HKMC,HK,신규점,리테일,M22,Yoho,2604,650.0,420.29906125860714,590.0655299999999,-169.7664687413927,314.735,,,,9.75,57.3677,29.632,3.366,91.455,0.6466139403978571,0.015,,0.088258,0.04558769230769231,0.005178461538461539,0.1407,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E812,'HKMC 2026 PL'!$C$8:$MW$8,BN$5)/1000",
HKMC,MC,기존점,리테일,MC1,Venetian,2604,2500.0,1593.335277317724,1273.9386440776702,319.3966332400537,702.48,,,,20.0,109.56600999999999,113.971,3.366,219.2621340776699,0.6373341109270896,0.008,,0.043826404,0.0455884,0.0013464,0.08770485363106796,blank_or_zero,manual_value,,"=+SUMIFS('HKMC 2026 PL'!$C$42:$MW$42,'HKMC 2026 PL'!$C$9:$MW$9,RAWDATA!$E948,'HKMC 2026 PL'!$C$8:$MW$8,BN$5)/1000",
