sheet_name,summary_year,category,ttl_sold_amt,amt_vs_ly,ttl_sold_gross,disc_off,gross_vs_ly,month_name,month_code,sold_amt,sold_gross
2026 PLAN (2),2026,ACCESSORY,146838501.52,1.1526350478583454,164444295.85608783,0.1070623595937642,-0.03880360169328434,JAN,2601,14632794.770000001,17140755.0
2026 PLAN (2),2026,ACCESSORY,146838501.52,1.1526350478583454,164444295.85608783,0.1070623595937642,-0.03880360169328434,FEB,2602,21029376.750000007,24631302.97
2026 PLAN (2),2026,ACCESSORY,146838501.52,1.1526350478583454,164444295.85608783,0.1070623595937642,-0.03880360169328434,MAR,2603,10300500.0,11164977.511652434
2026 PLAN (2),2026,ACCESSORY,146838501.52,1.1526350478583454,164444295.85608783,0.1070623595937642,-0.03880360169328434,APR,2604,9219350.0,9962334.574594008
2026 PLAN (2),2026,ACCESSORY,146838501.52,1.1526350478583454,164444295.85608783,0.1070623595937642,-0.03880360169328434,MAY,2605,10470900.0,11738245.345420778
2026 PLAN (2),2026,ACCESSORY,146838501.52,1.1526350478583454,164444295.85608783,0.1070623595937642,-0.03880360169328434,JUN,2606,9629220.0,10613726.185894992
2026 PLAN (2),2026,ACCESSORY,146838501.52,1.1526350478583454,164444295.85608783,0.1070623595937642,-0.03880360169328434,JUL,2607,11362500.0,12663462.578437079
2026 PLAN (2),2026,ACCESSORY,146838501.52,1.1526350478583454,164444295.85608783,0.1070623595937642,-0.03880360169328434,AUG,2608,14078100.0,15677484.68689619
2026 PLAN (2),2026,ACCESSORY,146838501.52,1.1526350478583454,164444295.85608783,0.1070623595937642,-0.03880360169328434,SEP,2609,7777000.0,8669952.277505174
2026 PLAN (2),2026,ACCESSORY,146838501.52,1.1526350478583454,164444295.85608783,0.1070623595937642,-0.03880360169328434,OCT,2610,11207760.0,12314439.110561933
2026 PLAN (2),2026,ACCESSORY,146838501.52,1.1526350478583454,164444295.85608783,0.1070623595937642,-0.03880360169328434,NOV,2611,10870600.0,11977572.944374196
2026 PLAN (2),2026,ACCESSORY,146838501.52,1.1526350478583454,164444295.85608783,0.1070623595937642,-0.03880360169328434,DEC,2612,16260400.0,17890042.670751076
2026 PLAN (2),2026,WEAR,140692921.09,1.149790470164513,175018112.87515122,0.1961236538394001,-0.04520462297708128,JAN,2601,14216690.879999999,18991177.0
2026 PLAN (2),2026,WEAR,140692921.09,1.149790470164513,175018112.87515122,0.1961236538394001,-0.04520462297708128,FEB,2602,15852560.210000005,20800563.0
2026 PLAN (2),2026,WEAR,140692921.09,1.149790470164513,175018112.87515122,0.1961236538394001,-0.04520462297708128,MAR,2603,8599500.0,10090783.108643934
2026 PLAN (2),2026,WEAR,140692921.09,1.149790470164513,175018112.87515122,0.1961236538394001,-0.04520462297708128,APR,2604,9330650.0,11025995.157763198
2026 PLAN (2),2026,WEAR,140692921.09,1.149790470164513,175018112.87515122,0.1961236538394001,-0.04520462297708128,MAY,2605,10429100.0,12987253.968253968
