sheet_name,summary_year,category,ttl_sold_amt,amt_vs_ly,ttl_sold_gross,disc_off,gross_vs_ly,month_name,month_code,sold_amt,sold_gross
2026 PLAN (2),2025,ACCESSORY,127393750.34,,149149600.14000002,0.14586596128704854,,JAN,2501,18648029.0,21930423.0
2026 PLAN (2),2025,ACCESSORY,127393750.34,,149149600.14000002,0.14586596128704854,,FEB,2502,9791752.3,11414908.0
2026 PLAN (2),2025,ACCESSORY,127393750.34,,149149600.14000002,0.14586596128704854,,MAR,2503,8789822.980000002,10065458.0
2026 PLAN (2),2025,ACCESSORY,127393750.34,,149149600.14000002,0.14586596128704854,,APR,2504,8562311.95,9819955.0
2026 PLAN (2),2025,ACCESSORY,127393750.34,,149149600.14000002,0.14586596128704854,,MAY,2505,8928472.310000002,10422684.0
2026 PLAN (2),2025,ACCESSORY,127393750.34,,149149600.14000002,0.14586596128704854,,JUN,2506,8123185.3,9435264.0
2026 PLAN (2),2025,ACCESSORY,127393750.34,,149149600.14000002,0.14586596128704854,,JUL,2507,10698959.85,12710447.0
2026 PLAN (2),2025,ACCESSORY,127393750.34,,149149600.14000002,0.14586596128704854,,AUG,2508,13612935.09,16759450.45
2026 PLAN (2),2025,ACCESSORY,127393750.34,,149149600.14000002,0.14586596128704854,,SEP,2509,7321878.9,8720194.0
2026 PLAN (2),2025,ACCESSORY,127393750.34,,149149600.14000002,0.14586596128704854,,OCT,2510,9982320.62,11622934.0
2026 PLAN (2),2025,ACCESSORY,127393750.34,,149149600.14000002,0.14586596128704854,,NOV,2511,9918103.259999998,11375570.57
2026 PLAN (2),2025,ACCESSORY,127393750.34,,149149600.14000002,0.14586596128704854,,DEC,2512,13015978.779999997,14872312.120000001
2026 PLAN (2),2025,WEAR,122363965.21,,161287104.12,0.2413282768164814,,JAN,2501,18367425.0,23446270.0
2026 PLAN (2),2025,WEAR,122363965.21,,161287104.12,0.2413282768164814,,FEB,2502,8275944.730000002,10628325.0
2026 PLAN (2),2025,WEAR,122363965.21,,161287104.12,0.2413282768164814,,MAR,2503,8339721.14,10935140.0
2026 PLAN (2),2025,WEAR,122363965.21,,161287104.12,0.2413282768164814,,APR,2504,9109496.08,11690193.0
2026 PLAN (2),2025,WEAR,122363965.21,,161287104.12,0.2413282768164814,,MAY,2505,8952575.069999985,11372225.0
2026 PLAN (2),2025,WEAR,122363965.21,,161287104.12,0.2413282768164814,,JUN,2506,7360225.3100000005,9232450.0
2026 PLAN (2),2025,WEAR,122363965.21,,161287104.12,0.2413282768164814,,JUL,2507,9575482.0,12868903.0
2026 PLAN (2),2025,WEAR,122363965.21,,161287104.12,0.2413282768164814,,AUG,2508,10693018.86,16168608.0
2026 PLAN (2),2025,WEAR,122363965.21,,161287104.12,0.2413282768164814,,SEP,2509,6449686.480000002,8625342.0
2026 PLAN (2),2025,WEAR,122363965.21,,161287104.12,0.2413282768164814,,OCT,2510,10256068.81,13244664.0
2026 PLAN (2),2025,WEAR,122363965.21,,161287104.12,0.2413282768164814,,NOV,2511,12219222.070000013,16162524.0
2026 PLAN (2),2025,WEAR,122363965.21,,161287104.12,0.2413282768164814,,DEC,2512,12765099.659999998,16912460.119999997
2026 PLAN (2),2025,TOTAL,249757715.55,,310436704.26,0.19546331950225682,,JAN,2501,37015454.0,45376693.0
2026 PLAN (2),2025,TOTAL,249757715.55,,310436704.26,0.19546331950225682,,FEB,2502,18067697.03,22043233.0
2026 PLAN (2),2025,TOTAL,249757715.55,,310436704.26,0.19546331950225682,,MAR,2503,17129544.12,21000598.0
2026 PLAN (2),2025,TOTAL,249757715.55,,310436704.26,0.19546331950225682,,APR,2504,17671808.03,21510148.0
2026 PLAN (2),2025,TOTAL,249757715.55,,310436704.26,0.19546331950225682,,MAY,2505,17881047.379999988,21794909.0
2026 PLAN (2),2025,TOTAL,249757715.55,,310436704.26,0.19546331950225682,,JUN,2506,15483410.61,18667714.0
2026 PLAN (2),2025,TOTAL,249757715.55,,310436704.26,0.19546331950225682,,JUL,2507,20274441.85,25579350.0
2026 PLAN (2),2025,TOTAL,249757715.55,,310436704.26,0.19546331950225682,,AUG,2508,24305953.95,32928058.45
2026 PLAN (2),2025,TOTAL,249757715.55,,310436704.26,0.19546331950225682,,SEP,2509,13771565.380000003,17345536.0
2026 PLAN (2),2025,TOTAL,249757715.55,,310436704.26,0.19546331950225682,,OCT,2510,20238389.43,24867598.0
2026 PLAN (2),2025,TOTAL,249757715.55,,310436704.26,0.19546331950225682,,NOV,2511,22137325.330000013,27538094.57
2026 PLAN (2),2025,TOTAL,249757715.55,,310436704.26,0.19546331950225682,,DEC,2512,25781078.439999998,31784772.24
